Barangay,Longitude,Latitude,Recyclable_2019,Biodegradable_2019,Residual_2019,Special_2019,Total_2019,Recyclable_2015,Biodegradable_2015,Residual_2015,Special_2015,Total_2015,waste_type ,2015,2019
San Roque,124.2356,8.2268,  444.2 ,  310.9 ,"  1,399.2 ",  66.6 ,"  2,221.0 ",  702.0 ,"  1,667.4 ",  526.5 ,  58.5 ,"  2,925.2 ",,,
Santa Elena,124.2409,8.224,  904.9 ,  633.4 ,"  2,850.3 ",  135.7 ,"  4,524.4 ","  1,430.1 ","  3,396.6 ","  1,072.6 ",  119.2 ,"  5,958.9 ",,,
Santa Filomena,124.2436,8.2297,  588.3 ,  411.8 ,"  1,853.0 ",  88.2 ,"  2,941.3 ",  929.8 ,"  2,208.2 ",  697.3 ,  77.5 ,"  3,874.0 ",,,
Santiago,124.2479,8.2324,  773.7 ,  541.6 ,"  2,437.1 ",  116.1 ,"  3,868.4 ","  1,222.8 ","  2,904.1 ",  917.1 ,  101.9 ,"  5,094.9 ",,,
Santo Rosario,124.242,8.2248,  154.8 ,  108.4 ,  487.7 ,  23.2 ,  774.1 ,  244.7 ,  581.1 ,  183.5 ,  20.4 ,"  1,019.5 ",,,
Saray,124.2334,8.2226,  788.0 ,  551.6 ,"  2,482.3 ",  118.2 ,"  3,940.1 ","  1,245.5 ","  2,958.0 ",  934.1 ,  103.8 ,"  5,189.4 ",,,
Suarez,124.2343,8.2201,"  1,566.4 ","  1,096.5 ","  4,934.0 ",  235.0 ,"  7,831.8 ","  2,475.6 ","  5,879.6 ","  1,856.7 ",  206.3 ,"  10,315.1 ",,,
Tambacan,124.2425,8.2317,"  1,617.5 ","  1,132.2 ","  5,095.0 ",  242.6 ,"  8,087.3 ","  2,556.4 ","  6,071.4 ","  1,917.3 ",  213.0 ,"  10,651.5 ",,,
Tibanga,124.2412,8.2248,  679.6 ,  475.7 ,"  2,140.8 ",  101.9 ,"  3,398.1 ","  1,074.1 ","  2,551.0 ",  805.6 ,  89.5 ,"  4,475.5 ",,,
Tipanoy,124.2403,8.2293,"  1,284.2 ",  898.9 ,"  4,045.2 ",  192.6 ,"  6,421.0 ","  2,029.7 ","  4,820.5 ","  1,522.2 ",  169.1 ,"  8,456.9 ",,,
Tomas Cabili,124.2357,8.2311,  863.7 ,  604.6 ,"  2,720.7 ",  129.6 ,"  4,318.5 ","  1,365.1 ","  3,242.1 ","  1,023.8 ",  113.8 ,"  5,687.8 ",,,
Tubod,124.2372,8.2209,"  2,792.7 ","  1,954.9 ","  8,796.9 ",  418.9 ,"  13,963.4 ","  4,413.8 ","  10,482.7 ","  3,310.3 ",  367.8 ,"  18,390.8 ",,,
Ubaldo Laya,124.2387,8.2246,"  1,144.5 ",  801.1 ,"  3,605.1 ",  171.7 ,"  5,722.4 ","  1,808.8 ","  4,296.0 ","  1,356.6 ",  150.7 ,"  7,536.8 ",,,
Upper Hinaplanon,124.2506,8.2408,  550.5 ,  385.4 ,"  1,734.2 ",  82.6 ,"  2,752.7 ",  870.1 ,"  2,066.6 ",  652.6 ,  72.5 ,"  3,625.6 ",,,
Upper Tominobo,124.2598,8.2407,  310.8 ,  217.5 ,  979.0 ,  46.6 ,"  1,553.9 ",  491.2 ,"  1,166.6 ",  368.4 ,  40.9 ,"  2,046.6 ",,,
Villa Verde,124.2386,8.2302,  463.4 ,  324.4 ,"  1,459.7 ",  69.5 ,"  2,316.9 ",  732.4 ,"  1,739.4 ",  549.3 ,  61.0 ,"  3,051.5 ",,,
